k,1. Bolha,2. Bolha com Sentinela,3. Bolha Coquetel,4. Inserção,5. Seleção,6. Intercalação,7. HeapSort,8. QuickSort
10²,4950,4681,2316,2277,4950,560,598,1079
10³,499500,495376,243770,249348,499500,8705,11543,18441
10⁴,49995000,49948662,24875614,25091283,49995000,123592,166220,238510
10⁵,4999950000,4999474268,2499891464,2495221293,4999950000,1566498,2162764,3122292
10⁶,499999500000,499994189368,250066172265,250052601006,499999500000,18715815,26619296,38746616
