k,1. Bolha,2. Bolha com Sentinela,3. Bolha Coquetel,4. Inserção,5. Seleção,6. Intercalação,7. HeapSort,8. QuickSort
10²,4950,4766,2536,2396,4950,558,674,977
10³,499500,495001,247261,248828,499500,8720,11689,16382
10⁴,49995000,49959521,25033206,24918899,49995000,123705,166394,248025
10⁵,4999950000,4999594113,2496850125,2498140503,4999950000,1566504,2163225,3112857
10⁶,499999500000,499992324089,250060174682,250034722357,499999500000,18716072,26619854,38047508
