k,1. Bolha,2. Bolha com Sentinela,3. Bolha Coquetel,4. Inserção,5. Seleção,6. Intercalação,7. HeapSort,8. QuickSort
10²,7359,7142,7609,2594,297,1400,1755,1455
10³,751882,756130,741784,250826,2997,20000,27247,20648
10⁴,74996769,74523429,75099618,24938897,29997,280000,372710,297520
10⁵,7511207762,7501482021,7490550376,2498340501,299997,3400000,4724544,3575782
10⁶,750307667886,749901480209,750180524048,250036722355,2999997,40000000,57144462,42935084
