k,1. Bolha,2. Bolha com Sentinela,3. Bolha Coquetel,4. Inserção,5. Seleção,6. Intercalação,7. HeapSort,8. QuickSort
10²,4950,577,134,132,4950,433,757,840
10³,499500,7643,1393,1398,499500,5673,12800,13389
10⁴,49995000,87331,14103,14060,49995000,78014,178515,183748
10⁵,4999950000,908125,140211,140220,4999950000,940264,2292559,2337546
10⁶,499999500000,9915669,1402222,1402673,499999500000,10718280,27955055,28364055
