k,1. Bolha,2. Bolha com Sentinela,3. Bolha Coquetel,4. Inserção,5. Seleção,6. Intercalação,7. HeapSort,8. QuickSort
10²,4950,4926,3707,3705,4950,507,630,1052
10³,499500,499470,483259,483296,499500,7094,10703,15580
10⁴,49995000,49994948,49828920,49828975,49995000,86558,155626,211053
10⁵,4999950000,4999949978,4998283902,4998283652,4999950000,1034229,2054629,2616979
10⁶,499999500000,499999499964,499982835680,499982838644,499999500000,12076430,25484882,31232228
