k,1. Bolha,2. Bolha com Sentinela,3. Bolha Coquetel,4. Inserção,5. Seleção,6. Intercalação,7. HeapSort,8. QuickSort
10²,6679,6768,6950,2475,297,1400,1641,1246
10³,742005,734608,731311,251346,2997,20000,27105,19250
10⁴,74695378,74960293,74626843,25111281,29997,280000,372431,245320
10⁵,7496177244,7495466651,7499674393,2495421291,299997,3400000,4724925,3269592
10⁶,750326918296,749744511851,750198516794,250054601004,2999997,40000000,57144005,39766910
