k,1. Bolha,2. Bolha com Sentinela,3. Bolha Coquetel,4. Inserção,5. Seleção,6. Intercalação,7. HeapSort,8. QuickSort
10²,11072,11088,11121,3903,297,1400,1644,1514
10³,1449553,1449909,1449778,485294,2997,20000,25176,19895
10⁴,149485243,149485919,149486760,49848973,29997,280000,349356,257636
10⁵,14994852103,14994852687,14994851706,4998483650,299997,3400000,4488681,3079718
10⁶,1499948498585,1499948499990,1499948507041,499984838642,2999997,40000000,54918763,35867924
